Nombre,Dirección,Notas
"Facultad de Arquitectura, Diseño y Urbanismo | UDELAR","Facultad de Arquitectura, 1031, Bulevar General Artigas, Parque Rodó, Montevideo, 11200, Uruguay",Coordinar con Santi 094428280
Casa de Carmen Calle Golondrinas (24) entre Avenida de los Cipreses y Calle Las Garzas,"55, Las Golondrinas, Guazuvirá, Canelones, 15300, Uruguay",Lunes a viernes de 10 a 17 hs. Cel 099 460 699
Agustina,"224, La Rosiña, Sector A, Los Eucaliptus, Maldonado, 20000, Uruguay",De 10 a 19 hs
Vivero Paseo de las Flores,"Ruta 10 Juan Diaz de Solís, Las FLores, Maldonado, 20303, Uruguay",De 9 a 17 hs
Pda. 42 Mansa. La Celestina % Mariana Pineda y Don Segundo Sombra,"9534, La Celestina, Punta Ballena, Maldonado, 20000, Uruguay",Whatsapp al 099343998 para coordinar
Radio Mangangá,"1478, Ruta 10 Juan Diaz de Solís, Solís, Maldonado, 20200, Uruguay",Coordinar por Whatsapp  098 948 498
Veiga Joyas Sauce,"1451, Vicente Ponce de León, Sauce, Canelones, 91500, Uruguay",General Artigas & Vicente Ponce de Leon
Casa Isabel,"Delmira Agustini, Villa Argentina, Municipio de Atlántida, Canelones, 16001, Uruguay",Coordinar por whatsapp 099 337 274
Fotocopias Colonia  Gral. Flores 468,"468, Avenida General Flores, Barrio Histórico, Colonia del Sacramento, Colonia, 70000, Uruguay",Lunes a viernes de 9.30 a 18.30
Al grano. Avda. Baltasar Brum 745,"745, Avenida Doctor Baltasar Brum, Barrio Histórico, Colonia del Sacramento, Colonia, 70000, Uruguay",Lunes a viernes de 9 a 13 hs y de 16 a 19 hs.
PIXEL Impresiones,"12, Noruega, Pinares - Las Delicias, Maldonado, 20000, Uruguay",
Casa Soledad,"Calle 45 - El Mantón, Buenos Aires, Maldonado, 20000, Uruguay",Coordinar por whatsapp 099 558 504
Casa Daiana,"4601, General Artigas, Jaureguiberry, Canelones, 15400, Uruguay",Coordinar por whatsapp 092 904 060
Casa Rosario,"1062, Río Uruguay, Lagomar, Ciudad de la Costa, Municipio de Ciudad de la Costa, Canelones, 15000, Uruguay",Coordinar por Whatsapp  099 608 633
Avenida Uruguay & Mar de Ajó,"Mar de Ajó, Solymar, Ciudad de la Costa, Municipio de Ciudad de la Costa, Canelones, 15005, Uruguay",Coordinar por whatsapp 091668826
Vecin@s unid@s - Balneario Argentino,"Calle 4, Argentino, Canelones, 16403, Uruguay","Sábados, domingos, lunes y miércoles"
Lo de Cristina,"34, General Artigas, Aiguá, Maldonado, 20500, Uruguay",
19 de Abril & Doctor Julian Graña,"144, Doctor Julián Graña, Rocha, 27000, Uruguay",Coordinar por Whatsapp  092 719 599
El Nido - Espacio Cultural,"1650, De las Víboras, La Capuera, Maldonado, 20000, Uruguay",
Kiosco Salón Puntos,"Puntos, 18 de Julio, San Carlos, Maldonado, 20400, Uruguay",Lunes a sábados de 8:00 a 21:00hs. Domingos de 9:00 a 21:00hs.
Autoservice Lo De Vivi,"1, América Latina, La Juanita, José Ignacio, Maldonado, 20000, Uruguay",Lunes a viernes 8:00 a 15:00hs y 17:00 a 20:30hs. Sábados 8:00 a 15:00 hs.
Grinderman Libros,"1641,1643,1645,1647, Tristán Narvaja, Cordón, Montevideo, 11200, Uruguay","Lunes a viernes mañana y/o tarde, coordinar 098263550"
Casa Anabela,"549, Héctor Gutiérrez Ruiz, Paso de los Toros, Tacuarembó, 45100, Uruguay",Viernes de 13 a 17 hs. y Sábados de 9 a 12
"Gafer10, Papelería y Recuerdos","El Mirlo, Edén, Maldonado, 20000, Uruguay",El Mirlo y Las Garzas. De 10 a 18 hs.
Alejo Fernandez Chavez 636,"640, Alejo Fernández Chávez, San Carlos, Maldonado, 20400, Uruguay",Jueves y viernes todo el día. Sábados de mañana
El Canuto,"23, De los Cisnes, José Ignacio, Maldonado, 20000, Uruguay",Miércoles a Lunes de 12:30 a 19:30hs
Papelería Papelino Coronel Leonardo Olivera 764,"648, 18 de Julio, San Carlos, Maldonado, 20400, Uruguay",De 10 a 19 hs.
Maraña Peluquería,"DirecTV, Sarandí, Barrio Centro, Sarubbi, Maldonado, 20000, Uruguay",Lunes de 15 a 19 <br>Martes a jueves 10:00 a 12: 30 y de 14:00 a 19:00 <br>Viernes y Sábados 10:30 a 19:00
Finito Y Crocante,"973, Santa Teresa, Barrio Rivera, Sarubbi, Maldonado, 20000, Uruguay",Martes a domingo de 19:30 a 1:00
Mandala Pizza,"12, Rosa de los Vientos, Punta Ballena, Maldonado, 20000, Uruguay",Jueves a lunes 12 a 16 – 20 a 23:45 
"Facultad de Arquitectura, Diseño y Urbanismo","Facultad de Arquitectura, 1031, Bulevar General Artigas, Parque Rodó, Montevideo, 11200, Uruguay",Taller Articardi. Salón 1
Feria Artesanías Punta Ballena,"Mirador Punta Ballena, Carlos Páez Vilaró, Punta Ballena, Maldonado, 20003, Uruguay",Turismo todos los días de 10:30 a 19 hs. Sábados y domingos de 10:30 a 19 hs. 
El Viejo Almacén,"1384, Avenida Copacabana, Ocean Park, Maldonado, 20000, Uruguay",Jueves y viernes 19:30 a 1:00<br>Sábado y domingo de 12:00 a 16:00 – 19:30 a 1:00
Espacio Cultural El TERRUÑO,"13, Sepé, El Pinar, Ciudad de la Costa, Municipio de Salinas, Canelones, 15800, Uruguay",Calle ABAYUBA..M.H.7 solar 13
